survey,item_con,item,variable,values,nonresponses,question_text,response_categories
pew2017,dem_good4b,evdemoc_pew,polsys_republic,"c(4:1)","c(8,9)"," a democratic system where representatives elected by citizens decide what becomes law","1 very good / somewhat good / somewhat bad / very bad"
arabb1,dem_good4c,evdemoc_arabb,q2451,"c(4:1)","c(97,98,99)","a democratic political system (public freedoms, guarantees equality in political and civil rights, alternation of power, and accountability and transparency of the executive authority)","1 very good / 2 good / 3 bad / 4 very bad"
arabb2,dem_good4c,evdemoc_arabb,q5171,"c(4:1)","c(8,9)","a democratic political system (public freedoms, guarantees equality in political and civil rights, alternation of power, and accountability and transparency of the executive authority)","1 very good / 2 good / 3 bad / 4 very bad"
arabb3,dem_good4c,evdemoc_arabb,q5171,"c(4:1)","c(8,9)","a democratic political system (public freedoms, guarantees equality in political and civil rights, alternation of power, and accountability and transparency of the executive authority)","1 very good / 2 good / 3 bad / 4 very bad"
asiab2003,dem_good3,evdemoc_asiab,q27_d,"c(3:1)","c(9)","A democratic political system","1 very good / 2 fairly good / bad"
asiab2004,dem_good3,evdemoc_asiab,q32d,"c(3:1)","c(9)","A democratic political system","1 very good / 2 fairly good / bad"
asiab2005,dem_good3,evdemoc_asiab,q34d,"c(3:1)","c(9)","A democratic political system","1 very good / 2 fairly good / bad"
asiab2006,dem_good3,evdemoc_asiab,q38d,"c(3:1)","c(9)","A democratic political system","1 very good / 2 fairly good / bad"
asiab2007,dem_good3,evdemoc_asiab,q39d,"c(3:1)","c(9)","A democratic political system","1 very good / 2 fairly good / bad"
asiab2008,dem_good3,evdemoc_asiab,q40d,"c(3:1)","c(9)","A democratic political system","1 very good / 2 fairly good / bad"
arabb1,church4,church_arabb,q2324,"c(4:1)","c(97,98,99)","A democratic system may have problems, yet it is better than other systems","1 I strongly agree / 2 I agree / 3 I disagree / 4 I strongly Disagree"
arabb2,church4,church_arabb,q5164,"c(4:1)","c(8,9)","A democratic system may have problems, yet it is better than other systems","1 I strongly agree / 2 I agree / 3 I disagree / 4 I strongly Disagree"
arabb3,church4,church_arabb,q5164,"c(4:1)","c(8,9)","A democratic system may have problems, yet it is better than other systems","1 I strongly agree / 2 I agree / 3 I disagree / 4 I strongly Disagree"
arabb4,church4,church_arabb,q5164,"c(4:1)","c(98,99)","A democratic system may have problems, yet it is better than other systems","1 I strongly agree / 2 I agree / 3 I disagree / 4 I strongly Disagree"
arabb5,church4,church_arabb,q516_4,"c(4:1)","c(98,99)","A democratic system may have problems, yet it is better than other systems","1 I strongly agree / 2 I agree / 3 I disagree / 4 I strongly Disagree"
arabb7,church4,church_arabb,q516_4,"c(4:1)","c(98,99)","A democratic system may have problems, yet it is better than other systems","1 I strongly agree / 2 I agree / 3 I disagree / 4 I strongly Disagree"
cdcee,strong2b,strong_cdcee,v517,"c(1:2)","99","a few strong-handed leaders would be more useful to the state than the many democrats who are constantly holding meetings and consultations","1 agree / 2 disagree"
arabb2,strong4b,strong_arabb_1,q5172,"c(1:4)","c(8,9)","a political system with an authoritarian president (non-democratic) who is indifferent to parliament and elections","1 very good / 2 good / 3 bad / 4 very bad"
arabb3,strong4b,strong_arabb_1,q5172,"c(1:4)","c(8,9)","a political system with an authoritarian president (non-democratic) who is indifferent to parliament and elections","1 very good / 2 good / 3 bad / 4 very bad"
arabb1,strong_bad4,strong_arabb_2,q2452,"c(1:4)","c(97,98,99)","a strong non-democratic leader that does not bother with parliament and elections","1 very good / 2 good / 3 bad / 4 very bad"
evs_combo,strong_bad4,strong_evs,e114,"c(1:4)","c(-1,-2)","a strong non-democratic leader that does not bother with parliament and elections","1 very good / 2 good / 3 bad / 4 very bad"
evs_greece2017,strong_bad4,strong_evs,v145,"c(1:4)","c(-1,-2)","a strong non-democratic leader that does not bother with parliament and elections","1 very good / 2 good / 3 bad / 4 very bad"
