survey,item,item_cl,variable,values,question_text,response_categories
aes2007,army4a,,c12p3,c(1:4),The army (military) should come in to govern the country,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
aes2007,evdem4,,c12p4,c(4:1),Having a democratic political system,1 very good / 2 fairly good / 3 fairly bad / 4 very bad
aes2007,strong4b,,c12p1,c(1:4),strong leader who doesn't bother with parliament,1 very good / 2 fairly good / 3 fairly bad / 4 very bad
afrob1,army5,army_afrob,rejmil,c(5:1),The army comes in to govern the country,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
afrob1,oneparty4a,party_afrob,rejone,c(5:1),only one political party is allowed to stand for election and hold office,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
afrob1,strong5,strong_afrob,rejdic,c(5:1),elections and parliament are abolished so that the president can decide everything,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
afrob1,threestate_321,threestate_afrob,supdem,c(3:1),which of these three statements is closest to your own opinion,1 democracy is preferable to any other kind of government  / 2 for someone like me it doesn't matter what kind of government we have / 2 in some circumstances a non-democratic government can be preferable
afrob2,army5,army_afrob,q35c,c(5:1),The army comes in to govern the country,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
afrob2,oneparty4a,party_afrob,q35a,c(5:1),only one political party is allowed to stand for election and hold office,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
afrob2,strong5,strong_afrob,q35d,c(5:1),elections and parliament are abolished so that the president can decide everything,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
afrob2,threestate_231,threestate_afrob,q38,"c(2,1,3)",which of these three statements is closest to your own opinion,3 democracy is preferable to any other kind of government / 2 in some circumstances a non-democratic government can be preferable / 1 for someone like me it doesn't matter what kind of government we have (presented in this order)
afrob3,army5,army_afrob,q36b,c(5:1),The army comes in to govern the country,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
afrob3,oneparty4a,party_afrob,q36a,c(5:1),only one political party is allowed to stand for election and hold office,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
afrob3,strong5,strong_afrob,q36c,c(5:1),elections and parliament are abolished so that the president can decide everything,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
afrob3,threestate_231,threestate_afrob,q37,"c(2,1,3)",which of these three statements is closest to your own opinion,3 democracy is preferable to any other kind of government / 2 in some circumstances a non-democratic government can be preferable / 1 for someone like me it doesn't matter what kind of government we have (presented in this order)
afrob4,army5,army_afrob,q29b,c(5:1),The army comes in to govern the country,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
afrob4,oneparty4a,party_afrob,q29a,c(5:1),only one political party is allowed to stand for election and hold office,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
afrob4,strong5,strong_afrob,q29c,c(5:1),elections and parliament are abolished so that the president can decide everything,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
afrob4,threestate_231,threestate_afrob,q30,"c(2,1,3)",which of these three statements is closest to your own opinion,1 democracy is preferable to any other kind of government / 2 in some circumstances a non-democratic government can be preferable / 3 for someone like me it doesn't matter what kind of government we have
afrob5,army5,army_afrob,q31b,c(5:1),The army comes in to govern the country,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
afrob5,oneparty4a,party_afrob,q31a,c(5:1),only one political party is allowed to stand for election and hold office,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
afrob5,strong5,strong_afrob,q31c,c(5:1),elections and parliament are abolished so that the president can decide everything,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
afrob5,threestate_231,threestate_afrob,q32,"c(2,1,3)",which of these three statements is closest to your own opinion,3 democracy is preferable to any other kind of government / 2 in some circumstances a non-democratic government can be preferable / 1 for someone like me it doesn't matter what kind of government we have (presented in this order)
afrob6,army5,army_afrob,q28b,c(5:1),The army comes in to govern the country,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
afrob6,oneparty4a,party_afrob,q28a,c(5:1),only one political party is allowed to stand for election and hold office,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
afrob6,strong5,strong_afrob,q28c,c(5:1),elections and parliament are abolished so that the president can decide everything,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
afrob6,threestate_231,threestate_afrob,q30,"c(2,1,3)",which of these three statements is closest to your own opinion,3 democracy is preferable to any other kind of government / 2 in some circumstances a non-democratic government can be preferable / 1 for someone like me it doesn't matter what kind of government we have (presented in this order)
afrob7,army5,army_afrob,q27b,c(5:1),The army comes in to govern the country,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
afrob7,oneparty4a,party_afrob,q27a,c(5:1),only one political party is allowed to stand for election and hold office,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
afrob7,strong5,strong_afrob,q27c,c(5:1),elections and parliament are abolished so that the president can decide everything,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
afrob7,threestate_231,threestate_afrob,q28,"c(2,1,3)",which of these three statements is closest to your own opinion,3 democracy is preferable to any other kind of government / 2 in some circumstances a non-democratic government can be preferable / 1 for someone like me it doesn't matter what kind of government we have (presented in this order)
allbus,dictatorship5,dictatorship5,px03,c(5:1),dictatorship sometimes better government,1 do not agree at all / 2 tend not to agree / 3 neither / 4 tend to agree / 5 completely agree
